"User_Firstname";"User_Surname";"User_Password";"Phone_no";"Email";"Suburb";"Postcode";"Dog_Name";"Dog_Breed";"Dog_Age";"Dog_Gender";"Dog_Image"
"Mary";"Contrary";"$2y$10$GWT44THMHizR24wFM1AY3eLo2QAgpkp317uJNwANK7ukct8fD7tg2";"+610400111222";"mary@mail.com";"NORTH PLYMPTON SA 5037";"5037";"Softie";"poodle";"1";"female";"userimages/pexels-leah-kelley-373467.jpg"
"Mike";"Scott";"$2y$10$zDv5SEnLc4y.K9DGa4NKg.U/NoPYzgMMGsX9zzd0jcgLjA711zH/i";"+610404111222";"ms@mail.com";"SOUTH PLYMPTON SA 5038";"5038";"Dwight";"bloodhound";"5";"male";"userimages/pexels-gary-smith-7340691.jpg"
"Annie";"Gee";"$2y$10$yFWPNAlTIdhGXG42CCU/ue6yOeLqeWe5Xd.8UW5mIhLKZdt1WvQ4e";"+610404222222";"annie@mail.com";"ABERFOYLE PARK SA 5159";"5159";"Daisy";"sausage dog";"3";"female";"userimages/pexels-dominika-roseclay-895259.jpg"
"Johnny";"Garfield";"$2y$10$5gFWvkzC6.15X1Nypxq9suXQKobVtjBFQ6FchbyJdMQFEwV00GNKy";"+610409222333";"jg@mail.com";"FULLARTON SA 5063";"5063";"Suzanne";"Maltese";"0";"female";"userimages/pexels-dominika-roseclay-2023384.jpg"
"test";"test";"$2y$10$RApGny.CLWTBXycjxH2em.dRA.IFsaR/sQ.jO6WYDvuANYezTLoca";"+610455045666";"t@t.com";"ADELAIDE SA 5000";"5000";"t";"labrador";"3";"male";"userimages/pexels-leah-kelley-373467.jpg"
"Prim";"Proper";"$2y$10$Y5XZwQnCaoiM6JgM3ARk0.UqSFLoP3YLIGFzEz1NzMMyPMXGtFP";"+611132111222";"prim@mail.com";"SALISBURY SA 5108";"5108";"Wonka";"Corgi";"5";"Male";"userimages/pexels-muhannad-alatawi-58997.jpg"
"Bugsy";"Malone";"$2y$10$Rmo2ln6BbppuZ4EODCr3IOM.1uidWjlKN13FHCMimVsxWpqrnxWnC";"+611303333333";"bugsy@mail.com";"BELTON SA 5432";"5432";"Lucy";"labrador";"9";"Female";"userimages/pexels-binyamin-mellish-544269.jpg"
"Jake";"John";"$2y$10$ABOAuKAEMLeQhXhuLMbRseYH81KTbj8SIRExKMv38ycyf48NBRtnG";"+611404333222";"jake@mail.com";"ADELAIDE SA 5000";"5000";"Crispy";"labrador";"2";"Male";"userimages/pexels-pixabay-162149.jpg"
"Josie";"Sherbet";"$2y$10$Gj/cceJMSt0WJ9Px0tsaGuJOwD.Tio8yo0iP/5thmqGXLXHpnMSj2";"+611404812003";"js@mail.com";"ABERFELDY VIC 3825";"3825";"Patty";"labrador";"3";"Female";"userimages/pexels-pixabay-162149.jpg"
"Lizzie";"Borden";"$2y$10$IJ5eIlzhfKcY81D2w7jrVOG3CPWOJIBYfVK2DIaKqGh7Yw2vYWgZe";"+611405060070";"liz@mail.com";"GLENELG SA 5045";"5045";"Patricia";"sausage dog";"2";"female";"userimages/pexels-tatiana-lm-976921.jpg"
"Rory";"Gilmour";"$2y$10$K0ujYXkULZOB49.P/ZYOXuzemDLaVrS/ieR1OAYC8qsM8.iOVKD82";"+611405666555";"rory@mail.com";"WYNARKA SA 5306";"5306";"Paul";"labrador";"4";"Male";"userimages/pexels-helena-lopes-2253275.jpg"
"Louis";"Bob";"$2y$10$rhJkhrfspFy0bfgVE/dcL.vkcD3X/fJU6WXQTVdaCG7K8VV9LqlXu";"+611909888666";"louis@mail.com";"BURNSIDE SA 5066";"5066";"Lady";"Cocker Spaniel";"1";"female";"userimages/pexels-steshka-willems-1390361.jpg"
"Kenny";"Dot";"$2y$10$Fh/gYlFJIyUyLRzm3rgzXeyWFq9nKx9VYY0/Jr3qGBoPj8pyrW2te";"+611909888777";"kdot@mail.com";"ASCOT PARK SA 5043";"5043";"Jimmy";"sausage dog";"3";"Male";"userimages/pexels-dominika-roseclay-895259.jpg"
